"","PRIANGAN TIMUR","6,748,713,678","6,807,661,347","100.87%","101.89%","  (58,947,669)","  - ","","7","","","","","PRIANGAN TIMUR","2.49","1.80","72.32%","73.05%","  688,457,654 ","  663,584,452 ","","7","","","PRIANGAN TIMUR","8.03","7.63","94.95%","0.41","100.87","88.71","87.95%","12.16","","","PRIANGAN TIMUR","6.75","6.81","100.87%","-0.06","2.07","1.10","53.28%","0.97","","13","37/70%","","Grand Total","","24362","121,820,000","","","","","","","","","","","","","","","","Category","","","","","","","Jul","Aug","Sep","Oct","Nov","Dec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FAJAR RAMDHANI","BNJ","","","7","8","8","6","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","TREG 2","145,961,226,862","165,833,842,949","113.61%","114.76%","-19,872,616,087","  - ","","","","","","","TREG 2","  1,165.42 ","  1,089.66 ","93.50%","94.44%","  75.76 ","  64.10 ","","","","","","393.68","172.43","43.80%","221.24","991.48","826.41","83.35%","165.07","","TREG 2 RBS","","145.96","165.83","113.61%","-19.87","42.88","17.88","41.69%","25.00","","14","41/30%","","","","","","","","","","","","","","","","","","","","","CYC","100.00%","98.64%","99.54%","99.29%","99.46%","99.45%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5","4","4","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","JAKARTA INNER","224.60","213.59","95.09%","11.02","8.66","7.05","81.35%","1.62","","DGS","JAKARTA INNER","216.49","209.76","96.89%","6.73","8.22","6.96","84.66%","1.26","","15","45/86%","","","","","","","","","","","","","","","","","","","","","C3MR","95.62%","94.83%","95.10%","96.25%","96.99%","96.38%","","","","","","","","","","","","","","","","","","","","Laporan Bulanan C3MR Periode 202506","","","","","","","","","","","","","","","","","","JEJEN","MJL","","","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","30 /Sep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," BILLING PERDANA","","","","","","","","","","","","","BINTANG 8 BILLING PERDANA PRITI","","","","","","","","","","","JAKARTA CENTRUM","343.54","295.48","86.01%","48.06","22.61","17.22","76.14%","5.39","","","JAKARTA CENTRUM","298.48","282.82","94.75%","15.66","20.07","15.64","77.95%","4.43","","16","51/01%","","","","","","","","","","","","","","","","","","","","","PRANPC","31.05%","33.26%","17.98%","34.58%","27.84%","18.10%","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","","","","","","","","","","","PRANPC","","","","","","","","","","OCT","NOV","DEC","GRAFIK RR","","","","","","91401 - Banjar","503","156,988,550","24,768,654","15.78%","459,540","0.29%","71","25,228,194","14.12%","16.07%","432","131,760,356","","","","","Perbandingan 30 Juli -September 2025","","","","","","","","","","","","","","",""
"","","","","","99.50%","","","","","","","","","","","","","99.50%","","","","","","","JAKARTA OUTER","577.71","519.95","90.00%","57.76","25.70","19.10","74.30%","6.60","","","JAKARTA OUTER","507.44","477.19","94.04%","30.25","21.88","16.45","75.17%","5.43","","17","52/78%","","HASIL VISIT RESOURCE HOTD","","","","","","","","","","","","","","","","","","","WINBACK","83.84%","79.10%","76.66%","77.57%","74.05%","84.11%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOHAMMAD","SPA","","","2","1","1","0","1","","","","","","","","","","","Banjar","20.07%","23.71%","22.36%","15.78%","18.72%","16.40%","15.38%","15.07%","10.79%","","","","","","","","","","91403 - Garut","414","125,847,596","59,395,811","47.20%","0","0.00%","154","59,395,811","37.20%","47.20%","260","66,451,785","","","","","","","","","","","","","","","","","","","",""
"","WITEL","","","","","","","","","","","","","WITEL","","","","","","","","","","","BANTEN","152.69","133.55","87.47%","19.14","10.19","7.34","72.00%","2.85","","","BANTEN","123.55","105.35","85.27%","18.20","9.06","7.05","77.82%","2.01","","18","55/37%","","Posisi recording terakhir data TREMS : ","","29/04/2026","","","","","","","","","","","","","","","","","PSB","99.86%","100.00%","99.51%","67.45%","99.99%","97.28%","","","","","","","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,560","12,706,162,556","12,426,935,287","97.80%","1,105,495","0.01%","33,784","12,428,040,782","97.75%","97.81%","794","278,121,774","","","","","","","","","0","1","0","0","0","","","","","","","","","","","Garut","35.42%","29.10%","21.99%","47.20%","19.77%","8.78%","26.26%","41.96%","7.28%","","","","","","","","","","91404 - Indramayu","335","122,321,940","23,993,683","19.62%","0","0.00%","78","23,993,683","23.28%","19.62%","257","98,328,257","","","","","DATEL","","","","","","","","","","","","","","",""
"","JAKARTA INNER","138,459,282","134,331,878","97.02%","97.51%","  4,127,404 ","  3,435,108 ","0.14%","5","","","","","Banjar","18,231,182","18,231,182","100.00%","100.50%","  - ","  - ","0.00%","1","","","PRIANGAN BARAT","3.56","2.21","62.05%","1.35","13.57","10.04","74.01%","3.53","","","PRIANGAN BARAT","1.90","1.62","85.07%","0.28","11.21","8.18","72.97%","3.03","","19","65/51%","","DATEL","PETUGAS VISIT","HASIL VISIT","","","","","","","","","","","","","","","","","CASE","","","","","","","- CYC kurang OnePrix","","","","","","","","","","","","","","","","","","","","PRANPC","760","228,916,273","41,424,875","18.10%","1,729,054","0.76%","187","43,153,929","24.61%","18.85%","573","185,762,344","","","","","PIPIT","MJL","","","2","0","0","0","0","","","","","","","","","","","Indramayu","8.51%","11.68%","68.55%","19.62%","85.31%","13.16%","5.10%","3.94%","3.79%","","","","","","","","","","91405 - Kuningan","312","96,341,430","28,181,236","29.25%","0","0.00%","102","28,181,236","32.69%","29.25%","211","68,160,194","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA CENTRUM","95,933,068","94,001,582","97.99%","98.48%","  1,931,486 ","  1,451,821 ","-6.04%","3","","","","","Garut","46,711,137","45,958,893","98.39%","98.88%","  752,244 ","  518,688 ","1.59%","5","","","BEKASI KARAWANG","9.54","4.58","47.97%","4.97","5.41","4.73","87.38%","0.68","","","BEKASI KARAWANG","7.66","3.52","45.90%","4.15","5.15","4.60","89.24%","0.55","","20","81/75%","","Grand Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PSB","579","143,168,715","139,280,651","97.28%","3,488,643","2.44%","578","142,769,294","99.83%","99.72%","1","399,421","","","","","","","","","2","0","0","0","0","","","","","","","","","","","Kuningan","18.99%","20.17%","18.26%","29.25%","39.79%","13.66%","24.43%","23.75%","18.61%","","","","","","","","","","91406 - Majalengka","211","60,087,130","11,649,703","19.39%","0","0.00%","46","11,649,703","21.80%","19.39%","166","48,437,427","","","","","91401 - Banjar","522","162,560,937","25,008,350","15.38%","1,259,564","0.77%","91","26,267,914","17.43%","16.16%","432","136,293,023","","",""
"","JAKARTA OUTER","159,314,822","151,593,991","95.15%","95.63%","  7,720,831 ","  6,924,257 ","0.64%","8","","","","","Indramayu","33,933,638","33,103,624","97.55%","98.04%","  830,014 ","  660,346 ","2.44%","7","","","BANDUNG","10.65","10.20","95.79%","0.45","10.48","8.65","82.49%","1.84","","","BANDUNG","7.40","7.61","102.84%","-0.21","9.72","8.25","84.84%","1.47","","21","#REF!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WINBACK","125","19,573,168","16,463,916","84.11%","1,110","0.01%","89","16,465,026","71.20%","84.12%","36","3,108,142","","","","","SHOKIKAH","IMY","","","0","0","0","0","8","","","","","","","","","","","Majalengka","30.16%","21.07%","42.81%","19.39%","16.31%","12.25%","44.74%","28.42%","16.86%","","","","","","","","","","91407 - Inner - Priangan Timur","479","138,599,213","54,283,542","39.17%","0","0.00%","216","54,283,542","45.09%","39.17%","263","84,315,671","","","","","91403 - Garut","407","130,600,926","33,807,235","25.89%","0","0.00%","98","33,807,235","24.08%","25.89%","310","96,793,691","","",""
"","BANTEN","217,625,237","209,641,970","96.33%","96.82%","  7,983,267 ","  6,895,141 ","-3.15%","6","","","","","Kuningan","32,447,422","32,447,422","100.00%","100.50%","  - ","  - ","0.00%","1","","","PRIANGAN TIMUR","3.14","2.14","68.19%","1.00","11.77","10.45","88.77%","1.32","","","PRIANGAN TIMUR","2.49","1.80","72.32%","0.69","11.23","10.20","90.79%","1.03","","22","#REF!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR","","","","","","","","TOTAL 914 - Priangan Timur","","36,024","13,097,820,712","12,624,104,729","96.38%","6,324,302","0.05%","34,638","12,630,429,031","96.15%","96.43%","1,404","467,391,681","","","","","","","","","0","0","0","0","5","","","","","","","","","","","Inner - PRITI","15.93%","41.56%","26.27%","39.17%","31.42%","12.92%","25.18%","28.11%","26.50%","","","","","","","","","","91408 - Singaparna","204","55,667,129","23,304,447","41.86%","0","0.00%","80","23,304,447","39.22%","41.86%","124","32,362,682","","","","","91404 - Indramayu","873","326,234,009","14,297,850","4.38%","0","0.00%","49","14,297,850","5.61%","4.38%","824","311,936,159","","",""
"","PRIANGAN BARAT","234,553,598","225,869,687","96.30%","96.78%","  8,683,911 ","  7,511,143 ","1.24%","7","","","","","Majalengka","13,342,329","12,892,454","96.63%","97.11%","  449,875 ","  383,163 ","1.30%","8","","","","1,325.43","1,181.69","89.16%","143.73","108.39","84.56","78.01%","23.84","","TREG 2 DGS","","1,165.42","1,089.66","93.50%","75.76","96.55","77.33","80.09%","19.22","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WO","157","169","171","187","204","136","","GRAND TOTAL","","36,024","13,097,820,712","12,624,104,729","96.38%","6,324,302","0.05%","34,638","12,630,429,031","96.15%","96.43%","1,404","467,391,681","","","","","SONI YUNIAR","CBN","","","0","0","0","0","6","","","","","","","","","","","Singaparna","26.01%","33.89%","50.94%","41.86%","28.45%","36.20%","31.22%","36.43%","38.02%","","","","","","","","","","91409 - Tasikmalaya","210","56,371,755","17,807,074","31.59%","1,110","0.00%","58","17,808,184","27.62%","31.59%","153","38,563,571","","","","","91405 - Kuningan","268","78,323,680","18,820,836","24.03%","0","0.00%","79","18,820,836","29.48%","24.03%","189","59,502,844","","",""
"","BEKASI KARAWANG","248,191,479","244,104,757","98.35%","98.85%","  4,086,722 ","  2,845,765 ","-0.68%","2","","","","","Inner - Priangan Timur","28,615,691","28,607,675","99.97%","100.47%","  8,016 ","  - ","0.03%","4","","","JAKARTA INNER","231.81","86.44","37.29%","145.37","95.02","62.94","66.24%","32.08","","DPS","JAKARTA INNER","83.34","62.60","75.11%","20.74","64.53","61.73","95.67%","2.80","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Visit","56","87","73","67","76","27","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","Tasikmalaya","30.05%","43.80%","55.49%","31.59%","22.78%","28.07%","26.80%","41.00%","17.05%","","","","","","","","","","GRAND TOTAL","2,668","812,224,743","243,384,150","29.97%","460,650","0.06%","805","243,844,800","30.17%","30.02%","1,866","568,379,943","","","","","91406 - Majalengka","220","67,884,098","30,370,762","44.74%","104,673","0.15%","79","30,475,435","35.91%","44.89%","142","37,408,663","","",""
"","BANDUNG","169,854,505","166,380,310","97.95%","98.45%","  3,474,195 ","  2,624,922 ","1.66%","4","","","","","Singaparna","25,329,767","24,827,634","98.02%","98.51%","  502,133 ","  375,484 ","1.98%","6","","","JAKARTA CENTRUM","783.70","351.75","44.88%","431.95","64.48","44.05","68.32%","20.43","","","JAKARTA CENTRUM","342.93","254.16","74.11%","88.77","45.04","43.59","96.77%","1.46","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Paid","19","18","21","14","25","8","","","","","","","","","","","","","","","","","","","","WAHYU IHWAYUDA","TSM","","","13","45","23","25","7","","","","","","","","","","","ALL PRITI","18.08%","26.24%","41.76%","29.97%","47.09%","16.04%","18.77%","19.50%","12.58%","","","","","","","","","","","","","","","","","","","","","","","","","","","91407 - Inner - Priangan Timur","508","122,052,035","30,642,159","25.11%","0","0.00%","134","30,642,159","26.38%","25.11%","373","91,409,876","","",""
"","PRIANGAN TIMUR","217,407,730","214,865,448","98.83%","99.33%","  2,542,282 ","  1,455,243 ","0.89%","1","","","","","Tasikmalaya","18,796,564","18,796,564","100.00%","100.50%","  - ","  - ","-0.68%","1","","","JAKARTA OUTER","1,151.30","370.38","32.17%","780.91","78.22","52.46","67.07%","25.76","","","JAKARTA OUTER","379.37","308.69","81.37%","70.68","53.72","51.37","95.62%","2.35","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RR%","12.10%","10.65%","12.28%","7.49%","12.25%","5.88%","","Laporan Bulanan C3MR Periode 202505","","","","","","","","","","","","","","","","","","","","","","4","11","7","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91408 - Singaparna","161","44,888,590","14,014,485","31.22%","34,410","0.08%","51","14,048,895","31.68%","31.30%","110","30,839,695","","",""
"","TREG 2","1,481,339,721","1,440,789,623","97.26%","97.75%","  40,550,098 ","  33,143,399 ","","","","","","","PRITI","217,407,730","214,865,448","98.83%","99.33%","  2,542,282 ","  1,455,243 ","","","","","BANTEN","147.33","97.34","66.07%","49.98","34.92","25.73","73.68%","9.19","","","BANTEN","88.45","63.23","71.49%","25.22","26.29","25.55","97.19%","0.74","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","","WAHYU MULYADI","TSM","","","8","13","14","13","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91409 - Tasikmalaya","265","60,689,882","15,721,057","25.90%","345,616","0.57%","69","16,066,673","26.04%","26.47%","196","44,623,209","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","PRIANGAN BARAT","18.71","4.61","24.64%","14.10","13.60","8.92","65.58%","4.68","","","PRIANGAN BARAT","4.72","4.46","94.61%","0.25","9.20","8.73","94.82%","0.48","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","1","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00-03 Bln","94","42,644,716","3,135,750","7.35%","1,110","0.00%","7","3,136,860","7.45%","7.36%","87","39,507,856","","","","","GRAND TOTAL","3,224","993,234,157","182,682,734","18.39%","1,744,263","0.18%","650","184,426,997","20.16%","18.57%","2,576","808,807,160","","",""
"","BINTANG 11 C3MR","","","","","","","","","","","","","BINTANG 11 C3MR PRITI","","","","","","","","","","","BEKASI KARAWANG","120.15","44.22","36.80%","75.93","47.63","36.47","76.56%","11.17","","","BEKASI KARAWANG","45.39","37.51","82.63%","7.88","37.58","35.87","95.45%","1.71","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,671","12,705,913,016","12,474,143,708","98.18%","7,002,087","0.06%","34,067","12,481,145,795","98.26%","98.23%","605","224,767,221","","","","","DESI","GRU","","","0","0","0","0","0","","","","","","","","","","","PRANPC","","","","","","","","","","OCT","NOV","DEC","GRAFIK RR","","","","","","04-06 Bln","118","45,820,839","3,232,320","7.05%","0","0.00%","11","3,232,320","9.32%","7.05%","107","42,588,519","","","","","","","","","","","","","","","","","","","",""
"","","","","","98.00%","","","","","","","","","","","","","98%","","","","","","","BANDUNG","26.46","8.44","31.88%","18.03","15.41","11.95","77.56%","3.46","","","BANDUNG","8.23","7.68","93.33%","0.55","12.23","11.90","97.34%","0.33","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRANPC","1,071","218,474,137","60,833,283","27.84%","212,210","0.10%","252","61,045,493","23.53%","27.94%","820","157,428,644","","","","","","","","","0","0","0","0","0","","","","","","","NonAktif","","","","00-03 Bln","22.48%","5.14%","14.31%","18.08%","11.28%","18.94%","10.51%","31.38%","7.35%","","","","","","","","","","07-09 Bln","201","113,657,170","4,584,609","4.03%","255,300","0.22%","17","4,839,909","8.46%","4.26%","186","108,817,261","","","","","DATEL","","","","","","","","","","","","","","",""
"","WITEL","","","","","","","","","","","","","WITEL","","","","","","","","","","","PRIANGAN TIMUR","0.14","0.13","99.06%","0.00","5.41","4.47","82.71%","0.93","","","PRIANGAN TIMUR","0.13","0.13","99.05%","0.00","4.57","4.43","96.88%","0.14","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PSB","477","86,073,898","86,067,937","99.99%","0","0.00%","475","86,067,937","99.58%","99.99%","2","5,961","","","","","FATTAH","GRU","","","9","0","0","0","0","","","","","","","","","","","04-06 Bln","17.31%","33.75%","13.66%","5.93%","7.29%","3.24%","13.46%","18.60%","7.05%","","","","","","","","","","10-12 Bln","114","49,606,455","3,609,831","7.28%","0","0.00%","12","3,609,831","10.53%","7.28%","102","45,996,624","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA INNER","13,709,222,320","13,076,867,064","95.39%","97.33%","  632,355,256 ","  358,170,810 ","-1.17%","1","","","","","Banjar","1,474,530,824","1,371,780,943","93.03%","94.93%","  102,749,881 ","  73,259,265 ","-2.12%","3","","","","2,479.60","963.32","38.85%","1,516.28","354.69","246.99","69.64%","107.70","","TREG 2 DPS","","952.56","738.46","77.52%","214.11","253.17","243.17","96.05%","10.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WINBACK","77","10,857,587","8,040,059","74.05%","0","0.00%","54","8,040,059","70.13%","74.05%","23","2,817,528","","","","","","","","","0","0","0","0","0","","","","","","","","","","","07-09 Bln","13.90%","23.21%","14.08%","15.33%","24.52%","4.93%","10.42%","4.57%","4.03%","","","","","","","","","","> 12 Bln","2,511","686,255,885","103,391,419","15.07%","3,044,725","0.44%","355","106,436,144","14.14%","15.51%","2,160","579,819,741","","","","","91401 - Banjar","368","143,195,222","21,581,454","15.07%","0","0.00%","76","21,581,454","20.65%","15.07%","293","121,613,768","","",""
"","JAKARTA CENTRUM","15,003,597,013","14,288,552,682","95.23%","97.18%","  715,044,331 ","  414,972,391 ","-1.46%","2","","","","","Garut","1,721,693,371","1,516,195,045","88.06%","89.86%","  205,498,326 ","  171,064,459 ","-6.87%","6","","","JAKARTA INNER","152.76","70.29","46.01%","82.47","19.05","12.19","64.02%","6.85","","DSS","JAKARTA INNER","36.32","26.56","73.15%","9.75","13.18","12.04","91.38%","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL 914 - Priangan Timur","","36,296","13,021,318,638","12,629,084,987","96.99%","7,214,297","0.06%","34,848","12,636,299,284","96.01%","97.04%","1,450","385,019,354","","","","","IMAN","KNG","","","0","0","0","0","0","","","","","","","","","","","10-12 Bln","7.87%","19.95%","54.39%","28.25%","35.43%","10.81%","38.33%","20.22%","7.28%","","","","","","","","","","GRAND TOTAL","3,038","937,985,065","117,953,929","12.58%","3,301,135","0.35%","402","121,255,064","13.23%","12.93%","2,642","816,730,001","","","","","91403 - Garut","329","102,635,261","43,070,194","41.96%","0","0.00%","147","43,070,194","44.68%","41.96%","183","59,565,067","","",""
